date,close,high,low,open,volume,tic,day,macd,rsi_30,cci_30,dx_30,log_return
2015-04-02,172.1935272216797,172.64394064696353,171.32604641576557,171.50955148134364,-0.09735843303541328,SPY,3,-0.4033755644268603,-0.7471638582449047,-1.0379193475796467,-0.8743081706179324,0.2647725889102728
2015-04-06,173.3529510498047,173.87009478388543,171.16758858385168,171.30103640950233,0.4477861696565878,SPY,0,-0.37816546365020065,-0.4993821775699683,-0.7115600224029898,-1.3487387495906638,0.535495014197505
2015-04-07,172.89419555664062,174.12867390596068,172.86083678071282,173.37798053634026,-0.20978397600502113,SPY,1,-0.37069955930678544,-0.6030497189158558,-0.4801161617704744,-1.227878610076379,-0.27674788755240926
2015-04-08,173.47805786132812,173.92013479560092,172.7273645424683,173.11939695248358,-0.04871333791510314,SPY,2,-0.34832296992547956,-0.4771292706123467,-0.4101042000437924,-1.2963708521206174,0.2457266782244146
2015-04-09,174.24542236328125,174.4789719419565,172.81910263119292,173.31122404858024,-0.12419163115971328,SPY,3,-0.30942420339378185,-0.3138221127563326,-0.15075232778318437,-1.0161629189700427,0.3361745359382724
2015-04-10,175.1963348388672,175.23804285485818,174.29550787645925,174.49568598921678,-0.3787497666199735,SPY,4,-0.25292423833195427,-0.1167511959981779,0.37636017340339417,-0.6503370962312968,0.4254485510138745
2015-04-13,174.40394592285156,175.68848163327957,174.3539013910817,175.0545502908604,-0.34473789411582195,SPY,0,-0.23165396040324615,-0.31125792270810826,0.34350026037152165,-0.4401038215086024,-0.4401625394136709
2015-04-14,174.73757934570312,174.92108442828817,173.57816781164263,174.20374984931914,-0.3315733524620881,SPY,1,-0.20697061213011433,-0.24019249290600725,0.1887042273646418,-0.9116530638280163,0.11902640097617487
2015-04-15,175.52162170410156,176.0304289088538,175.12125278597637,175.20466881068924,0.15327792731437234,SPY,2,-0.1673826350986125,-0.0742760386565082,0.7550184619870842,-0.3829928833762798,0.3416654314359466
2015-04-16,175.47158813476562,175.98039537128213,174.98780316172542,175.1879939970349,-0.4539303542640922,SPY,3,-0.13973410151597118,-0.0873881299752101,0.6624148089728848,-0.4672435696375078,-0.07154946063113077
2015-04-17,173.45301818847656,174.5206770237968,172.66895344714823,174.27879093833246,1.9709472569712356,SPY,4,-0.17645742971079534,-0.5944570263396651,-0.2552669762736674,-1.0709787632263572,-1.0508040088025217
2015-04-20,175.037841796875,175.37148042606813,174.2954850285471,174.37888832209643,0.007604622881874441,SPY,0,-0.16304977566450796,-0.24986858569453343,0.36215694282224414,-1.3160569270313818,0.74242409069423
2015-04-21,174.82936096191406,175.88033437809258,174.52908102479145,175.72185153245826,-0.3819868188493177,SPY,1,-0.1603671227343584,-0.30122864251030107,0.38638299434786244,-1.0668379759964564,-0.1502241510289951
2015-04-22,175.68850708007812,175.8720122081468,174.24548832503785,175.17135047938353,-0.2687634248703927,SPY,2,-0.1364302580231188,-0.11790348084994483,0.4273085672817309,-1.2218268217060924,0.3785637391603581
