date,close,high,low,open,volume,tic,day
2015-02-20,175.4142608642578,175.4889940619526,173.32994209721713,173.95274408655172,140896400,SPY,4
2015-02-23,175.3893280029297,175.3893280029297,174.78312501890014,175.16511576676893,74411100,SPY,0
2015-02-24,175.88760375976562,176.0869049805219,175.01567834149998,175.3146238371642,72472300,SPY,1
2015-02-25,175.73812866210938,176.2446748194243,175.3976605117466,175.7630397296052,73061700,SPY,2
2015-02-26,175.53048706054688,175.8045214100494,174.92428410364582,175.6467429054022,72697900,SPY,3
2015-02-27,174.93258666992188,175.6965554187468,174.8827645492714,175.4308205473628,108076000,SPY,4
2015-03-02,176.0369873046875,176.09510887652675,174.9823728408216,175.03219495123622,87491400,SPY,0
2015-03-03,175.3145751953125,176.08685612439723,174.4509621535296,175.60522114440676,110325800,SPY,1
2015-03-04,174.5755615234375,174.79147434157974,173.60399185461756,174.71672846633203,114497200,SPY,2
2015-03-05,174.76651000976562,175.0488438095076,174.2599639944939,174.899364775509,76873000,SPY,3
2015-03-06,172.30859375,174.33477875927844,171.97643767379853,173.90296572346284,188128000,SPY,4
2015-03-09,173.02273559570312,173.37980273350237,172.3501113251944,172.50788989154913,89818900,SPY,0
2015-03-10,170.21597290039062,171.7356116386825,170.17445022363998,171.65257895612314,157121300,SPY,1
2015-03-11,169.8173370361328,170.64773966222637,169.73429170514805,170.47334953553377,110145700,SPY,2
2015-03-12,171.97640991210938,172.0428309798738,170.39863712749272,170.44845926378608,93993500,SPY,3
2015-03-13,170.9217987060547,172.66563686984932,169.88379527369824,171.70237931453718,162410900,SPY,4
2015-03-16,173.2053985595703,173.29674336439572,170.94670217746943,171.65254954847836,136099200,SPY,0
2015-03-17,172.69053649902344,173.07251461307354,171.87673279859945,172.46632424107491,94510400,SPY,1
2015-03-18,174.76651000976562,175.43913398541872,171.5777548841367,172.217168336088,228808500,SPY,2
2015-03-19,173.9693603515625,174.7748519597055,173.57907008077407,174.35135115714198,117917300,SPY,3
2015-03-20,175.5050048828125,176.0138122504992,174.73762557421168,174.92113070534475,177715100,SPY,4
2015-03-23,175.16299438476562,176.0888564356137,175.16299438476562,175.51331884623505,71784500,SPY,0
2015-03-24,174.1787109375,175.4965924373723,174.11198066589287,175.0378425022575,77805300,SPY,1
2015-03-25,171.62632751464844,174.62078961866382,171.58463223103246,174.3872400294228,159521700,SPY,2
2015-03-26,171.21763610839844,172.1351487904997,170.25840268427095,170.959064236829,153067200,SPY,3
2015-03-27,171.6096954345703,171.78485130454047,170.90903377218643,171.10088812358376,118939000,SPY,4
2015-03-30,173.70327758789062,174.00355747241264,172.62728209272788,172.64395511645202,96180400,SPY,0
2015-03-31,172.1851806640625,173.5781544274123,172.1267996300139,172.87749292634174,126768700,SPY,1
2015-04-01,171.57632446289062,172.17688433109578,170.5837321049543,172.15186206387898,137303600,SPY,2
2015-04-02,172.1935272216797,172.64394064696353,171.32604641576557,171.50955148134364,86900900,SPY,3
2015-04-06,173.3529510498047,173.87009478388543,171.16758858385168,171.30103640950233,114368200,SPY,0
2015-04-07,172.89419555664062,174.12867390596068,172.86083678071282,173.37798053634026,81236300,SPY,1
2015-04-08,173.47805786132812,173.92013479560092,172.7273645424683,173.11939695248358,89351900,SPY,2
2015-04-09,174.24542236328125,174.4789719419565,172.81910263119292,173.31122404858024,85548900,SPY,3
2015-04-10,175.1963348388672,175.23804285485818,174.29550787645925,174.49568598921678,72722900,SPY,4
2015-04-13,174.40394592285156,175.68848163327957,174.3539013910817,175.0545502908604,74436600,SPY,0
2015-04-14,174.73757934570312,174.92108442828817,173.57816781164263,174.20374984931914,75099900,SPY,1
2015-04-15,175.52162170410156,176.0304289088538,175.12125278597637,175.20466881068924,99529300,SPY,2
2015-04-16,175.47158813476562,175.98039537128213,174.98780316172542,175.1879939970349,68934900,SPY,3
2015-04-17,173.45301818847656,174.5206770237968,172.66895344714823,174.27879093833246,191113200,SPY,4
2015-04-20,175.037841796875,175.37148042606813,174.2954850285471,174.37888832209643,92189500,SPY,0
2015-04-21,174.82936096191406,175.88033437809258,174.52908102479145,175.72185153245826,72559800,SPY,1
2015-04-22,175.68850708007812,175.8720122081468,174.24548832503785,175.17135047938353,78264600,SPY,2
2015-04-23,176.13052368164062,176.78112792054011,175.17129034557237,175.28806513902873,102585900,SPY,3
2015-04-24,176.53929138183594,176.80621256248196,176.08887779887377,176.54764062342014,61327400,SPY,4
2015-04-27,175.80519104003906,177.23151057480658,175.61333676963517,177.10639929193076,79358100,SPY,0
2015-04-28,176.36404418945312,176.41408870304048,174.60407333915512,175.78017031844107,86863500,SPY,1
2015-04-29,175.63839721679688,176.23894418916066,174.82931019691418,175.47156517878173,125684900,SPY,2
2015-04-30,173.87844848632812,175.45491471931282,173.17778692805777,175.0628822890601,161304900,SPY,3
2015-05-01,175.7635498046875,175.8052578239885,174.56243012282167,174.66251918714363,103399700,SPY,4
2015-05-04,176.2639617919922,176.8478356849652,176.08045675027265,176.18888229129143,70927200,SPY,0
2015-05-05,174.24542236328125,176.38075279723677,174.1036253139068,176.02207919087996,113326200,SPY,1
2015-05-06,173.52810668945312,175.10457288015732,172.4604477204841,174.79595648791593,135060200,SPY,2
2015-05-07,174.22042846679688,174.64583241167458,173.09438839932545,173.42802707246523,88244900,SPY,3
2015-05-08,176.5142364501953,176.71442729863688,175.81358757189997,175.8970036072923,155877300,SPY,4
2015-05-11,175.67181396484375,176.73947317751276,175.5967471594612,176.4725647380964,75708100,SPY,0
2015-05-12,175.1463165283203,175.68849536236291,174.011927052056,174.8377000732893,119727600,SPY,1
2015-05-13,175.17967224121094,176.1806010470727,174.94612261075986,175.55501895247156,94667900,SPY,2
2015-05-14,177.00636291503906,177.0981154589378,175.92201814009934,176.19727577179555,95934000,SPY,3
2015-05-15,177.1982421875,177.34003928958066,176.71445710113534,177.1982421875,76510100,SPY,4
2015-05-18,177.7487030029297,177.99892561949312,176.96463819770213,177.03136847128513,74549700,SPY,0
2015-05-19,177.69029235839844,178.1407184804143,177.40669826823859,177.8654609008484,72114600,SPY,1
2015-05-20,177.56520080566406,178.31589412249807,177.24823518289043,177.79040116421515,76857500,SPY,2
2015-05-21,178.0823974609375,178.29092485843273,177.2566243849555,177.42345648495353,64764600,SPY,3
2015-05-22,177.65696716308594,178.1157171548957,177.5902368832319,177.69866245143265,57433500,SPY,4
